requested_url,plain_text,published_date,title,tags,categories,author,sitename,image_url,language,language_score,responded_url,publisher,warc_path,crawl_date,_publish_dt,_publisher_resolved,_join_domain,domain,reliability_label,newsguard_score,publish_datetime_utc
https://www.foxnews.com/world/the-latest-2nd-rescue-underway-at-flooded-thai-cave,"MAE SAI, Thailand – The Latest on the rescue of a youth soccer team from a flooded cave in Thailand (all times local): 3 p.m. Thai authorities say they have resumed operations to rescue members of a boys' soccer team trapped in a flooded cave after successfully getting four of the boys out Sunday. They said the four boys already rescued are hungry but in good health in a hospital. The second operation started at 11 a.m. local time Monday. It takes several hours. Officials said at a news conference that the parents of the rescued boys, whose names have not been released, have not yet been allowed to have physical contact with them, pending more extensive examination of their physical condition. Eight boys are still inside the cave and along with the team coach. The operation to get them out was supposed to resume only after new oxygen tanks could be placed along their route of escape, which is partially underwater. ___ 11:35 a.m. Australia's foreign minister says 19 Australian personnel are involved in the Thailand cave rescue operation including a doctor who's played an essential part in assessing which boys can leave and in what order. Foreign Minister Julie Bishop told reporters in Australia that anesthetist and experienced cave diver Richard Harris is working with the Thai medical team inside the cave ""to make the decisions about the order in which the boys were to be extracted."" Expert divers Sunday rescued four of 12 boys from a flooded cave in northern Thailand where they were trapped with their soccer coach for more than two weeks. Crews will have to replenish air tanks along the route before rescuing the others. ___ 10:35 a.m. Thailand's interior minister says the same divers who took part in Sunday's rescue of four boys trapped in a flooded cave will also conduct the next operation as they know the cave conditions and what to do. In comments released by the government, Interior Minister Anupong Paojinda said officials were meeting Monday morning about the next stage of the operation and how to extract the remaining nine people from the cave in the country's north. Anupong said divers need to place more air canisters along the underwater route to where the boys and their coach have been trapped since June 23. He said that process can take several hours. He said the boys rescued Sunday are strong and safe but need to undergo detailed medical checks. ___ 8:45 a.m. Rescuers at a Thai cave where eight boys and their soccer coach remain trapped have awoken to cloudy skies, after a night in which heavy monsoon rains lashed the mountainous region for several hours. It was not immediately clear Monday how the overnight rains had impacted water levels inside the flooded cave. Officials have said storms forecast for Chiang Rai province in Thailand's far north had factored into their decision to go ahead with a complicated and dangerous plan to have the boys and their coach dive out of the cave. Thailand's Meteorological Department said there was a 60 percent chance of rain Monday with thunderstorms forecast throughout the week. Four of the boys were rescued on Sunday, and authorities said the next phase could begin any time within a 10-hour window that began about 7 a.m. Monday. ___ 8 a.m. Elon Musk's Space X rocket company is testing a ""kid-sized submarine"" that could be sent to help boys trapped in a flooded Thailand cave. Musk posted videos on Twitter of the aluminum sub being tested at a swimming pool Sunday midafternoon California time. If the tests are successful, the sub would be placed on a 17-hour flight to Thailand. Four of the boys were rescued on Sunday, and authorities are now working to replenish air tanks along the cave's treacherous exit route. They say rescuing the eight remaining boys and their soccer coach could take up to four days. A spokesman for Musk's Boring Co. tunneling unit, which has four engineers at the cave, has said Thai officials requested the device, which could potentially help the children through narrow, flooded cave passageways. ___ 2:10 a.m. Officials say it could take up to four days to complete the rescue of eight boys and their soccer coach from inside a northern Thailand cave. Authorities temporarily stopped their efforts Monday to replenish air tanks along the cave's treacherous exit route. Expert divers on Sunday managed to get four of the 12 boys to safety. They were quickly transported to a hospital in the town of Chiang Rai, the provincial capital. The names of the rescued boys were not released. Rescuers have been navigating a dangerous and complicated plan to get the children out under the threat of heavy rain and rising water underground. The entire group had been trapped for more than two weeks.",2018-07-09,The Latest: 2nd rescue underway at flooded Thai cave,,,Associated Press,Fox News,https://static.foxnews.com/foxnews.com/content/uploads/2018/09/ContentBroker_contentid-91524d0138054a89b5150955a870e9bd.png,en,0.9814449548721313,https://www.foxnews.com/world/the-latest-2nd-rescue-underway-at-flooded-thai-cave,foxnews.com,https://data.commoncrawl.org/crawl-data/CC-NEWS/2018/12/CC-NEWS-20181203092624-00599.warc.gz,2018-12-03T11:14:58+00:00,2018-07-09 00:00:00+00:00,foxnews.com,foxnews.com,foxnews.com,1.0,75.0,2018-07-09T00:00:00Z
https://www.foxnews.com/world/thai-cave-where-soccer-team-was-trapped-will-become-a-living-museum-official-says,"The Tham Luang Nang Non cave complex in Thailand — where 12 boys and their soccer coach were trapped for 18 days — will become a ""living museum"" to showcase the harrowing ordeal that unfolded in recent weeks as the world watched. The boys, ages 11 to 16, and their 25-year-old coach were fully rescued Tuesday after Thai navy SEALS completed the high-risk mission through rising floodwaters. The complex, in which the boys reportedly traveled through the treacherous cave as part of an ""initiation"" ritual, will become a showcase for locals and tourists alike. ""This area will become a living museum, to show how the operation unfolded,"" Narongsak Osottanakorn, head of the rescue mission, said, according to Reuters. Osottanakorn said that ""an interactive database"" will be part of the experience, calling the plan ""another major attraction for Thailand."" Osottanakorn, 57, the governor of Chiang Rai, the province where the complex is located, graduated from Ohio State University in 1988, the Columbus Dispatch reported. The boys became trapped in the cave after heavy rains flooded the complex. Prime Minister Prayuth Chan-ocha reportedly said Tuesday that safeguards would have to be put in place at the scene to protect future tourists. The rescue mission captivated the world after the group was discovered by two British divers on July 2. A rescue volunteer, former Thai navy SEAL Saman Kunan, died during the operation when he ran out of oxygen.",2018-07-12,"Thai cave where soccer team was trapped will become a 'living museum,' official says",,,Nicole Darrah,Fox News,http://media2.foxnews.com/BrightCove/694940094001/2018/07/12/694940094001_5808446111001_5808442764001-vs.jpg,en,0.9734801054000854,https://www.foxnews.com/world/thai-cave-where-soccer-team-was-trapped-will-become-a-living-museum-official-says,foxnews.com,https://data.commoncrawl.org/crawl-data/CC-NEWS/2018/12/CC-NEWS-20181212233611-00696.warc.gz,2018-12-13T03:00:11+00:00,2018-07-12 00:00:00+00:00,foxnews.com,foxnews.com,foxnews.com,1.0,75.0,2018-07-12T00:00:00Z
https://www.dailymail.co.uk/news/article-6449529/Thai-cave-12-boys-trapped-17-days-huge-tourist-attraction.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,"Thai cave where 12 boys were trapped for 17 days is now a huge tourist attraction with t-shirts and lottery ticket sellers lining the paths to the entrance Hundreds of stalls now pack the once sleepy forest around the famous cave In June, 12 boys and their football coach became trapped after monsoon rains They were rescued after 17 days; an ex-Thai Navy SEAL drowned in the effort Now Buddhist monks, lottery ticket and t-shirt sellers greet hundreds of tourists The Thai cave where 12 boys and their football coach were trapped underground for 17 days is now surrounded by tourists. The attraction reopened last month and now hundreds of stalls line the road to the cave, selling souvenirs including t-shirts. The entrance to the Tham Luang cave is barred but tourists have been gawping at the entrance which has food stalls outside, lottery tickets and Buddhist monks handing out trinkets, the Guardian reports. This photo shows Buddhist monks and tourists gathered close to the barred entrance to the Tham Luang cave which has become renowned across the globe after 12 Thai boys and their football coach became trapped after monsoon rains in June On the railings pictures of the rescue effort and the boys can be seen alongside signs warning people of the danger A tourist takes a selfie in the Tham Luang-Khun Nam Nang Non Forest Park which now attracts more visitors than ever before In addition to taking selfies by the cave, tourists can pay sombre tribute to former Thai Navy SEAL, Sergeant Saman Kunan, who sadly drowned as he heroically delivered oxygen in the underwater passage on July 6. The story of the football team and their coach captivated the world when they went into the cave after practice and were trapped after dangerous Monsoon rains caused the cave to flood in June. After they failed to return home, a massive search and rescue operation involving more than 1,000 rescuers and volunteers was launched after the team's head coach Nopparat Kathawong found their bikes and bags near the cavern entrance but without a trace of them in sight. Heavy rains, along with the fact that not all of the boys could swim, complicated the efforts greatly, and they were not discovered until nine days in the cave. Finally, after a high-stakes rescue operation, which involved expert divers from Britain and Australia, all 12 boys and their coach were saved. In this photo from July 15 taken in hospital shortly after the 'Wild Boars' football team were freed they hold a portrait of former Thai Navy SEAL, Sergeant Saman Kunan, who drowned trying to save them Tourists cross the bridge close to the cave in the Tham Luang-Khun Nam Nang Non Forest Park A photo released on 3 July 2018 shows the boys as they were discovered in the cave after 17 days Upon their discovery by two British divers, Rick Stanton and John Volanthen, the trapped team sent an uplifting message to the outside world via a handwritten letters passed along by rescue divers. A joint message by the boys said: 'Please don't worry. We're all healthy and strong. There's so much food we want to eat when we get out. We want to go straight home. And we beg the teacher not to give us a lot of homework.' The story of the Thai cave boys was such that Hollywood was quick to announce they would be featuring their own portrayal of the ordeal. A local woman Vipa Romaneechutima told the Guardian: 'This is an amazing thing that has happened for the people in this area.' She sells lottery tickets by the entrance and told the paper: 'People tried to make Tham Luang a tourist attraction before, many times, but it never became popular. 'Now it is famous all over the world because of the boys saved from the cave.' She said she was not just happy for the extra money but also that more people can appreciate the geographic beauty of the forest and its unique network of tunnels. Most watched News videos  Porn star Honey Gold explains her relationship with her manager Chris Watts confesses to his father that he murdered his wife Becky Watts killer Shauna Hoare smiles during police interview Tommy Robinson wades into Syrian refugee bullying scandal Shocking police body camera shows officers punched by youths Horrifying moment schoolboy beaten with 'iron bar' and bike saddle GRAPHIC CONTENT: Female assassin guns down five men in Mexico Man knocks woman unconscious outside of Stone's Sports Bar in Napa Sonny Bill Williams refuses to pose with scantily-clad ring girls John Barrowman was ‘on the verge' of losing it with Noel Edmonds Security cam shows Chris Watts leave his home after killing Soldier is greeted by her excited dog after being deployed",2018-12-01,Thai cave where 12 boys were trapped for 17 days is tourist attraction,"Thai,cave,12,boys,trapped,17,days,huge,tourist,attraction;Thai cave 12 boys trapped 17 days huge tourist attraction",News,Ross Ibbetson,Mail Online,https://i.dailymail.co.uk/1s/2018/12/01/11/6878158-0-image-a-19_1543662818437.jpg,en,0.9778645634651184,https://www.dailymail.co.uk/news/article-6449529/Thai-cave-12-boys-trapped-17-days-huge-tourist-attraction.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://data.commoncrawl.org/crawl-data/CC-NEWS/2018/12/CC-NEWS-20181201130428-00586.warc.gz,2018-12-01T13:05:51+00:00,2018-12-01 00:00:00+00:00,dailymail.co.uk,dailymail.co.uk,dailymail.co.uk,-1.0,15.0,2018-12-01T00:00:00Z
https://www.cbsnews.com/news/tesla-ceo-elon-musk-on-smoking-pot-impulsive-tweets-60-minutes-interview/,"In an interview airing this Sunday on 60 Minutes, Elon Musk explains why he acts the way he does. Musk has made headlines in very unconventional ways recently, calling a diver involved in the Thai cave rescue operations a 'pedo' and smoking pot during a podcast. ""I am somewhat impulsive,"" Musk tells Lesley Stahl in a clip from this Sunday's 60 Minutes. ""I don't really want to try to adhere to some CEO template."" Stahl presses Musk on that impulsiveness, which on occasion has manifested itself in the form of Twitter posts. ""I use tweets to express myself,"" Musk says, ""Some people use their hair, I use Twitter."" As for the weed he smoked on the podcast, Musk says it's actually proof he doesn't light up. ""I do not smoke pot,"" Musk says. ""As anybody who watched that podcast could tell, I have no idea how to smoke pot or anything. I don't know how to smoke anything, honestly."" Ultimately, Musk says he's just being true to himself. And the success of Tesla, he says, is a testament to his ultimate stability. ""I'm just being me,"" Musk says. ""I mean, I was certainly under insane stress and crazy, crazy hours... But the system would have failed if I was truly erratic."" See the full, wide-ranging interview Sunday at 7 p.m. ET/PT on CBS.",2018-12-07,"Tesla CEO Elon Musk on smoking pot, impulsive tweets","Elon Musk, cbs news, 60 minutes, twitter, chief executive, tesla inc, cannabis, smoking",60 Minutes;Previews,,CBS News,https://cbsnews3.cbsistatic.com/hub/i/r/2018/12/07/5457606f-4d60-491c-91d1-615bb888bd93/thumbnail/1200x630/96d6b99ecddb0625f61aacfe48fba17e/elonmuskstahlctmfullsize-10.jpg,en,0.9877951145172119,https://www.cbsnews.com/news/tesla-ceo-elon-musk-on-smoking-pot-impulsive-tweets-60-minutes-interview/,cbsnews.com,https://data.commoncrawl.org/crawl-data/CC-NEWS/2018/12/CC-NEWS-20181207142047-00641.warc.gz,2018-12-07T14:37:40+00:00,2018-12-07 00:00:00+00:00,cbsnews.com,cbsnews.com,cbsnews.com,1.0,100.0,2018-12-07T00:00:00Z
https://www.cnbc.com/2018/12/12/if-you-put-1000-in-tesla-in-2010-heres-how-much-youd-have-now.html,"Despite some lingering controversy around Tesla's co-founder and chief executive officer Elon Musk, the automaker's shares are up 37 percent in the past three months, and the company was a top performer in the Nasdaq 100 Monday, even amid steep stock market dips.  If you invested in Tesla in 2010, when it made its initial public offering, that investment would have definitely paid off. A $1,000 investment would be worth more than $21,000 as of December 12, according to CNBC calculations, including price appreciation and dividend gains reinvested.  In September, Musk was forced to step down as chairman of Tesla's board of directors for three years in a deal with the Securities and Exchange Commission after he wrote on Twitter that he was considering taking the company private, and he remains a polarizing figure.  CNBC: Tesla stock as of December 12, 2018  In an interview on CBS' ""60 Minutes,"" Musk said that, while he plans to comply with the settlement, he does not respect the SEC itself. He made no apologies for his recent behavior, including one incident where he appeared to smoke marijuana and drink whiskey on comedian Joe Rogan's podcast, and another where he suggested that a diver in the Thailand cave rescue was a ""pedo.""  Musk said that he sees himself as ""somewhat impulsive"" and that he doesn't want to ""try to adhere to some CEO template."" ""I'm just being me,"" he told CBS. ""I was certainly under insane stress and crazy, crazy hours. But the system would have failed if I was truly erratic.""  In response to both Musk's behavior andhis comments about the SEC, on a recent episode of CNBC's ""Squawk on the Street,"" Jim Cramer, host of ""Mad Money,"" said, ""This man plays by no rules. He's his own worst enemy. I don't understand why anyone would do this. He clearly thinks he's above the law or he would not 'diss' the agency that he has a plea deal [with].""",2018-12-12,"If you invested $1,000 in Tesla in 2010, here's how much you'd have now","Make It - Beginner’s Guide to Investing, Mary Stevens, Warren Buffett, S&P, Dow Industrials, Autos, General Motors Co, General Motors, Jim Cramer, Thailand, Tham Luang Cave rescue, Jobs, Wages and salaries, Podcasting, Joe Rogan, Liquor, Marijuana, CBS Corp., SEC, IPO, Stock markets, NASDAQ, Elon Musk, Tesla Inc, Personal investing, Make It - Money, Make It, business news;Mary Stevens;Warren Buffett;S&P;Dow Industrials;Autos;General Motors Co;General Motors;Jim Cramer;Thailand;Tham Luang Cave rescue;Jobs;Wages and salaries;Podcasting;Joe Rogan;Liquor;Marijuana;CBS Corp.;SEC;IPO;Stock markets;NASDAQ;Elon Musk;Tesla Inc;Personal investing;Make It - Money;Make It",Make It,Shawn M Carter,CNBC,https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2018/10/25/105530343-1540479093997rts2465d.1910x1000.jpg,en,0.9923141002655029,https://www.cnbc.com/2018/12/12/if-you-put-1000-in-tesla-in-2010-heres-how-much-youd-have-now.html,cnbc.com,https://data.commoncrawl.org/crawl-data/CC-NEWS/2018/12/CC-NEWS-20181212180050-00694.warc.gz,2018-12-12T19:19:36+00:00,2018-12-12 00:00:00+00:00,cnbc.com,cnbc.com,cnbc.com,1.0,95.0,2018-12-12T00:00:00Z
