date,N,rates_sp,rates_ihp,rates_hk,rates_hybrid_ar1,rates_hybrid_full
2017-08-03,2,14.827814569536423,54.582582121735875,0.8031028329288201,2.000000345921375,1.999988785650841
2017-08-04,0,14.827814569536423,53.194286850507396,2.6964702610862012,2.6826895059007025,2.6826892832183313
2017-08-05,0,14.827814569536423,51.84247418029828,0.8031028329288201,0.7884235550356069,0.7884234400407231
2017-08-06,0,14.827814569536423,50.52618539562146,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-07,0,14.827814569536423,49.244486974790746,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-08,0,14.827814569536423,47.99646992786036,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-09,0,14.827814569536423,46.7812491519626,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-10,0,14.827814569536423,45.597962803586356,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-11,0,14.827814569536423,44.44577168735137,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-12,0,14.827814569536423,43.3238586608447,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-13,0,14.827814569536423,42.2314280550973,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-14,0,14.827814569536423,41.16770511028974,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-15,0,14.827814569536423,40.13193542628686,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-16,0,14.827814569536423,39.123384427611626,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-17,1,14.827814569536423,38.1413368424788,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-08-18,2,14.827814569536423,37.18509619551895,1.7497865470075107,1.7355565304680485,1.735556361062414
2017-08-19,0,14.827814569536423,36.253984313832966,2.6964702610862012,2.6826895059004903,2.682689283785445
2017-08-20,1,14.827814569536423,35.3473408460269,0.8031028329288201,0.7884235550356069,0.7884234400407231
2017-08-21,1,14.827814569536423,34.46452279388583,1.7497865470075107,1.7355565304680485,1.735556361062414
2017-08-22,2,14.827814569536423,33.60490405635486,1.7497865470075107,1.7355565304680485,1.7355563616295273
2017-08-23,4,14.827814569536423,32.76787498550363,2.6964702610862012,2.6826895059004903,2.682689283785445
2017-08-24,48,14.827814569536423,31.952841954159503,4.589837689243582,4.576955456765373,4.576955128664394
2017-08-25,143,14.827814569536423,31.159226934902833,46.24392110870597,46.250806375792806,46.25080370465899
2017-08-26,108,14.827814569536423,30.38646709012564,136.17887394618157,136.22843904187476,136.22843133442416
2017-08-27,143,14.827814569536423,29.634014372863074,103.04494395342739,103.0787849017393,103.0787791128428
2017-08-28,324,14.827814569536423,28.901335138114447,136.17887394618157,136.22843904187476,136.22843136845097
2017-08-29,383,14.827814569536423,28.187909764378293,307.52862619442453,307.65950759514664,307.659490298521
2017-08-30,407,14.827814569536423,27.49323228513296,363.3829653250673,363.54035314566073,363.5403328083677
2017-08-31,301,14.827814569536423,26.816810030001452,386.10337446295586,386.2715445560393,386.27152297356935
2017-09-01,18,14.827814569536423,26.15816327534597,285.75490077061465,285.8754491602005,285.87543323865276
2017-09-02,0,14.827814569536423,25.516824904044356,17.843409686345254,17.836817112819556,17.836816208414138
2017-09-03,0,14.827814569536423,24.89234007420723,0.8031028329288201,0.7884235550356069,0.7884234491145372
2017-09-04,0,14.827814569536423,24.284265896600754,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-09-05,0,14.827814569536423,23.69217112054634,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-09-06,0,14.827814569536423,23.1156358280745,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-09-07,1,14.827814569536423,22.55425113611592,0.8031028329288201,0.7884235550356069,0.7884234389064964
2017-09-08,0,14.827814569536423,22.007618906518584,1.7497865470075107,1.7355565304680485,1.735556361062414
2017-09-09,0,14.827814569536423,21.475351463685293,0.8031028329288201,0.7884235550356069,0.7884234394736097
2017-09-10,0,14.827814569536423,20.95707131963124,0.8031028329288201,0.7884235550356069,0.7884234389064964
