date,N,rates_sp,rates_ihp,rates_hk,rates_hybrid_ar1,rates_hybrid_full
2017-10-02,489,29.692307692307693,450.6262464576561,11.503476329732772,488.9873998444989,539.8222837057649
2017-10-03,409,29.692307692307693,354.7368258248371,311.60907506613916,409.66787466702147,377.27959396060464
2017-10-04,311,29.692307692307693,279.5810174097379,262.5120445980154,304.42958359296887,269.0896965932673
2017-10-05,213,29.692307692307693,220.67571272387468,202.3681822745638,228.25088811007586,196.12571298703008
2017-10-06,142,29.692307692307693,174.5071597762456,142.22431995111222,156.65937656487907,145.97086314541187
2017-10-07,67,29.692307692307693,138.3213647507327,98.65070541065242,105.13728283771809,111.10202504353043
2017-10-08,74,29.692307692307693,109.95981391084057,52.6222393467864,50.770422164693784,85.84333283162567
2017-10-09,75,29.692307692307693,87.73071640236637,56.91822951274723,55.8433160373281,68.80368220628884
2017-10-10,54,29.692307692307693,70.30808747665095,57.531942393598776,56.56803975552754,57.19219035324916
2017-10-11,73,29.692307692307693,56.65265236204689,44.64397189571629,41.34717398073425,48.63683885959269
2017-10-12,48,29.692307692307693,45.94985263163801,56.30451663189568,55.11842476631013,43.12521345030982
2017-10-13,49,29.692307692307693,37.561257093826605,40.96169461060701,36.99835660724559,38.582991112422874
2017-10-14,9,29.692307692307693,30.986478823701848,41.57540749145856,37.723159318393016,35.25957132869273
2017-10-15,17,29.692307692307693,25.833326653418194,17.026892257396693,8.731050426123446,31.638699634739826
2017-10-16,25,29.692307692307693,21.79441063236198,21.936595304209064,14.529472204202786,28.907914886465562
2017-10-17,30,29.692307692307693,18.628805952722445,26.84629835102144,20.327893982399825,26.873165470310955
2017-10-18,30,29.692307692307693,16.147681577887056,29.914862755279174,23.951907593780394,25.312003808148322
2017-10-19,32,29.692307692307693,14.20303630900804,29.914862755279174,23.951907593780223,23.990858168128344
2017-10-20,24,29.692307692307693,12.678870386441407,31.14228851698227,25.401513038333064,22.90920540279111
2017-10-21,5,29.692307692307693,11.484266004505715,26.232585470169894,19.603091260121637,21.742629711263547
2017-10-22,11,29.692307692307693,10.547963986325946,14.572040733990505,5.831839536869495,20.173251058805157
2017-10-23,14,29.692307692307693,9.81411311276143,18.254318019099784,10.180655870528065,18.922688094862046
2017-10-24,9,29.692307692307693,9.23893854923934,20.095456661654424,12.355064037357351,17.87342085290761
2017-10-25,40,29.692307692307693,8.78813063929448,17.026892257396693,8.731050425975209,16.77994660546418
2017-10-26,32,29.692307692307693,8.434798304108472,36.051991563794644,31.199934816544488,16.650595157715852
2017-10-27,15,29.692307692307693,8.157864966573941,31.14228851698227,25.40151303833306,16.312462304670937
2017-10-28,13,29.692307692307693,7.9408113153771405,20.709169542505975,13.079866759633779,15.528942831672214
2017-10-29,3,29.692307692307693,7.770689913897305,19.48174378080288,11.630261315080924,14.755291831163435
2017-10-30,12,29.692307692307693,7.637352874497668,13.344614972287411,4.382234092316638,13.765970448410584
2017-10-31,15,29.692307692307693,7.532846528316596,18.868030899951332,10.905458592804495,13.110135320385423
2017-11-01,34,29.692307692307693,7.450936982092282,20.709169542505975,13.079866759633779,12.592314837395548
2017-11-02,19,29.692307692307693,7.386738261078262,32.36971427868536,26.85111848288592,12.649139272410018
2017-11-03,25,29.692307692307693,7.336420856455498,23.16402106591216,15.979077648739493,12.281569564761424
2017-11-04,4,29.692307692307693,7.296983291843921,26.84629835102144,20.327893982398063,12.112125142906747
2017-11-05,8,29.692307692307693,7.266073082659787,13.95832785313896,5.107036814593068,11.368505140537136
2017-11-06,22,29.692307692307693,7.241846408390797,16.413179376545145,8.006247703698781,10.79748373372042
2017-11-07,17,29.692307692307693,7.222858127119736,25.0051597084668,18.15348581556878,10.665035287943901
2017-11-08,17,29.692307692307693,7.207975571568539,21.936595304209064,14.529472204186638,10.403379620029868
2017-11-09,26,29.692307692307693,7.196310984522844,21.936595304209064,14.529472204186638,10.163036148372154
2017-11-10,9,29.692307692307693,7.187168563352062,27.460011231872986,21.052696704674492,10.19430195570092
2017-11-11,8,29.692307692307693,7.180002954785164,17.026892257396693,8.731050425975209,9.746961731195489
2017-11-12,5,29.692307692307693,7.17438672411991,16.413179376545145,8.006247703698781,9.30801523293865
2017-11-13,10,29.692307692307693,7.16998485837594,14.572040733990505,5.831839536869495,8.82076811912043
2017-11-14,5,29.692307692307693,7.1665347824829,17.64060513824824,9.455853148251638,8.513182963798906
2017-11-15,6,29.692307692307693,7.163830696452099,14.572040733990505,5.831839536869495,8.090599449065708
2017-11-16,4,29.692307692307693,7.161711299230511,15.185753614842053,6.556642259145924,7.730397998349865
2017-11-17,6,29.692307692307693,7.160050166954501,13.95832785313896,5.107036814593068,7.34349022269661
2017-11-18,1,29.692307692307693,7.158748211657826,15.185753614842053,6.556642259145924,7.044065873248722
2017-11-19,0,29.692307692307693,7.157727770589393,12.117189210584318,2.932628647763782,6.628977299636051
2017-11-20,5,29.692307692307693,7.156927973563486,11.503476329732772,2.2078259254873536,6.2196509275847065
2017-11-21,4,29.692307692307693,7.156301112000936,14.572040733990505,5.831839536869495,5.983644367652978
2017-11-22,1,29.692307692307693,7.1558097930714135,13.95832785313896,5.107036814593068,5.738832011001661
2017-11-23,5,29.692307692307693,7.155424709179006,12.117189210584318,2.932628647763782,5.4299213115826355
2017-11-24,2,29.692307692307693,7.155122889738963,14.572040733990505,5.831839536869495,5.258157324414262
2017-11-25,2,29.692307692307693,7.154886330962592,12.730902091435865,3.6574313700402103,5.016352661303798
2017-11-26,6,29.692307692307693,7.154700921915811,12.730902091435865,3.6574313700402103,4.794218146100085
2017-11-27,3,29.692307692307693,7.154555602789819,15.185753614842053,6.556642259145924,4.702171300038446
2017-11-28,1,29.692307692307693,7.154441705174003,13.344614972287411,4.382234092316638,4.533598984018548
2017-11-29,2,29.692307692307693,7.154352434977804,12.117189210584318,2.932628647763782,4.322730731231879
2017-11-30,2,29.692307692307693,7.154282467157388,12.730902091435865,3.6574313700402103,4.1570204230178005
2017-12-01,3,29.692307692307693,7.154227628072203,12.730902091435865,3.6574313700402103,4.004790177491984
2017-12-02,1,29.692307692307693,7.154184646523742,13.344614972287411,4.382234092316638,3.892947839238918
2017-12-03,0,29.692307692307693,7.154150958625742,12.117189210584318,2.932628647763782,3.734194735471398
2017-12-04,3,29.692307692307693,7.154124554866169,11.503476329732772,2.2078259254873536,3.5603513322222424
2017-12-05,4,29.692307692307693,7.154103860238099,13.344614972287411,4.382234092316638,3.4846628234988763
2017-12-06,7,29.692307692307693,7.154087640289201,13.95832785313896,5.107036814593068,3.443135768938575
2017-12-07,1,29.692307692307693,7.154074927485601,15.799466495693599,7.281444981422352,3.489000052965407
2017-12-08,1,29.692307692307693,7.15406496349765,12.117189210584318,2.932628647763782,3.363106946511525
2017-12-09,0,29.692307692307693,7.154057153964914,12.117189210584318,2.932628647763782,3.247454883353899
2017-12-10,1,29.692307692307693,7.15405103304206,11.503476329732772,2.2078259254873536,3.1132063734670012
2017-12-11,1,29.692307692307693,7.154046235610787,12.117189210584318,2.932628647763782,3.017883005345605
2017-12-12,2,29.692307692307693,7.154042475500201,12.117189210584318,2.932628647763782,2.9303139198614288
2017-12-13,9,29.692307692307693,7.154039528416477,12.730902091435865,3.6574313700402103,2.8778727388122096
2017-12-14,10,29.692307692307693,7.154037218563541,17.026892257396693,8.731050425975209,3.0257283707197993
2017-12-15,3,29.692307692307693,7.154035408156684,17.64060513824824,9.455853148251638,3.189560781549889
2017-12-16,1,29.692307692307693,7.1540339892035805,13.344614972287411,4.382234092316638,3.1440350224206655
2017-12-17,1,29.692307692307693,7.154032877062462,12.117189210584318,2.932628647763782,3.0462038322886835
2017-12-18,1,29.692307692307693,7.154032005393154,12.117189210584318,2.932628647763782,2.9563309288702024
2017-12-19,1,29.692307692307693,7.154031322199836,12.117189210584318,2.932628647763782,2.8737689283661045
2017-12-20,3,29.692307692307693,7.1540307867294395,12.117189210584318,2.932628647763782,2.7979231097930013
2017-12-21,4,29.692307692307693,7.154030367040694,13.344614972287411,4.382234092316638,2.7842559519482943
2017-12-22,11,29.692307692307693,7.154030038098808,13.95832785313896,5.107036814593068,2.7997049886609737
2017-12-23,5,29.692307692307693,7.154029780282115,18.254318019099784,10.180655870528065,3.0099281638201116
2017-12-24,0,29.692307692307693,7.154029578211627,14.572040733990505,5.831839536869495,3.0350238238603637
2017-12-25,0,29.692307692307693,7.154029419833666,11.503476329732772,2.2078259254873536,2.9180559716028487
2017-12-26,3,29.692307692307693,7.154029295700852,11.503476329732772,2.2078259254873536,2.810603118628115
2017-12-27,10,29.692307692307693,7.154029198408555,13.344614972287411,4.382234092316638,2.795904478437663
2017-12-28,4,29.692307692307693,7.154029122153205,17.64060513824824,9.455853148251638,2.9784324037366177
2017-12-29,6,29.692307692307693,7.154029062386107,13.95832785313896,5.107036814593068,2.9780857430541827
2017-12-30,2,29.692307692307693,7.154029015542101,15.185753614842053,6.556642259145924,3.0337761031582358
2017-12-31,5,29.692307692307693,7.1540289788269025,12.730902091435865,3.6574313700402103,2.972918570335863
